date,year,location,species,type,count
6/26,2015,Salmon River (Pitka Fork),Chum,Counted Live,0
6/26,2015,Salmon River (Pitka Fork),Coho,Counted Live,0
6/26,2016,Salmon River (Pitka Fork),Chinook,Counted Live,23
6/26,2016,Salmon River (Pitka Fork),Chum,Counted Live,0
6/26,2016,Salmon River (Pitka Fork),Coho,Counted Live,0
6/26,2017,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/26,2017,Salmon River (Pitka Fork),Chum,Counted Live,0
6/26,2017,Salmon River (Pitka Fork),Coho,Counted Live,0
6/26,2018,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/26,2018,Salmon River (Pitka Fork),Chum,Counted Live,0
6/26,2018,Salmon River (Pitka Fork),Coho,Counted Live,0
6/26,2019,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/26,2019,Salmon River (Pitka Fork),Chum,Counted Live,0
6/26,2019,Salmon River (Pitka Fork),Coho,Counted Live,0
6/27,2015,Salmon River (Pitka Fork),Chinook,Counted Live,19
6/27,2015,Salmon River (Pitka Fork),Chum,Counted Live,0
6/27,2015,Salmon River (Pitka Fork),Coho,Counted Live,0
6/27,2016,Salmon River (Pitka Fork),Chinook,Counted Live,81
6/27,2016,Salmon River (Pitka Fork),Chum,Counted Live,0
6/27,2016,Salmon River (Pitka Fork),Coho,Counted Live,0
6/27,2017,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/27,2017,Salmon River (Pitka Fork),Chum,Counted Live,0
6/27,2017,Salmon River (Pitka Fork),Coho,Counted Live,0
6/27,2018,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/27,2018,Salmon River (Pitka Fork),Chum,Counted Live,2
6/27,2018,Salmon River (Pitka Fork),Coho,Counted Live,0
6/27,2019,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/27,2019,Salmon River (Pitka Fork),Chum,Counted Live,0
6/27,2019,Salmon River (Pitka Fork),Coho,Counted Live,0
6/28,2015,Salmon River (Pitka Fork),Chinook,Counted Live,1
6/28,2015,Salmon River (Pitka Fork),Chum,Counted Live,0
6/28,2015,Salmon River (Pitka Fork),Coho,Counted Live,0
6/28,2016,Salmon River (Pitka Fork),Chinook,Counted Live,22
6/28,2016,Salmon River (Pitka Fork),Chum,Counted Live,0
6/28,2016,Salmon River (Pitka Fork),Coho,Counted Live,0
6/28,2017,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/28,2017,Salmon River (Pitka Fork),Chum,Counted Live,0
6/28,2017,Salmon River (Pitka Fork),Coho,Counted Live,0
6/28,2018,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/28,2018,Salmon River (Pitka Fork),Chum,Counted Live,1
6/28,2018,Salmon River (Pitka Fork),Coho,Counted Live,0
6/28,2019,Salmon River (Pitka Fork),Chinook,Counted Live,16
6/28,2019,Salmon River (Pitka Fork),Chum,Counted Live,0
6/28,2019,Salmon River (Pitka Fork),Coho,Counted Live,0
6/29,2015,Salmon River (Pitka Fork),Chinook,Counted Live,81
6/29,2015,Salmon River (Pitka Fork),Chum,Counted Live,0
6/29,2015,Salmon River (Pitka Fork),Coho,Counted Live,0
6/29,2016,Salmon River (Pitka Fork),Chinook,Counted Live,73
6/29,2016,Salmon River (Pitka Fork),Chum,Counted Live,1
6/29,2016,Salmon River (Pitka Fork),Coho,Counted Live,0
6/29,2017,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/29,2017,Salmon River (Pitka Fork),Chum,Counted Live,0
6/29,2017,Salmon River (Pitka Fork),Coho,Counted Live,0
6/29,2018,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/29,2018,Salmon River (Pitka Fork),Chum,Counted Live,0
6/29,2018,Salmon River (Pitka Fork),Coho,Counted Live,0
6/29,2019,Salmon River (Pitka Fork),Chinook,Counted Live,294
6/29,2019,Salmon River (Pitka Fork),Chum,Counted Live,0
6/29,2019,Salmon River (Pitka Fork),Coho,Counted Live,0
6/30,2015,Salmon River (Pitka Fork),Chinook,Counted Live,111
6/30,2015,Salmon River (Pitka Fork),Chum,Counted Live,0
6/30,2015,Salmon River (Pitka Fork),Coho,Counted Live,0
6/30,2016,Salmon River (Pitka Fork),Chinook,Counted Live,190
6/30,2016,Salmon River (Pitka Fork),Chum,Counted Live,0
6/30,2016,Salmon River (Pitka Fork),Coho,Counted Live,0
6/30,2017,Salmon River (Pitka Fork),Chinook,Counted Live,1
6/30,2017,Salmon River (Pitka Fork),Chum,Counted Live,0
6/30,2017,Salmon River (Pitka Fork),Coho,Counted Live,0
6/30,2018,Salmon River (Pitka Fork),Chinook,Counted Live,0
6/30,2018,Salmon River (Pitka Fork),Chum,Counted Live,0
6/30,2018,Salmon River (Pitka Fork),Coho,Counted Live,0
6/30,2019,Salmon River (Pitka Fork),Chinook,Counted Live,140
6/30,2019,Salmon River (Pitka Fork),Chum,Counted Live,0
6/30,2019,Salmon River (Pitka Fork),Coho,Counted Live,0
7/1,2015,Salmon River (Pitka Fork),Chinook,Counted Live,35
7/1,2015,Salmon River (Pitka Fork),Chum,Counted Live,0
7/1,2015,Salmon River (Pitka Fork),Coho,Counted Live,0
7/1,2016,Salmon River (Pitka Fork),Chinook,Counted Live,196
7/1,2016,Salmon River (Pitka Fork),Chum,Counted Live,0
7/1,2016,Salmon River (Pitka Fork),Coho,Counted Live,0
7/1,2017,Salmon River (Pitka Fork),Chinook,Counted Live,2
7/1,2017,Salmon River (Pitka Fork),Chum,Counted Live,0
7/1,2017,Salmon River (Pitka Fork),Coho,Counted Live,0
7/1,2018,Salmon River (Pitka Fork),Chinook,Counted Live,0
7/1,2018,Salmon River (Pitka Fork),Chum,Counted Live,1
7/1,2018,Salmon River (Pitka Fork),Coho,Counted Live,0
